Year,Total,Total sqrt,Gas Fuel,Liquid Fuel,Solid Fuel,Solid Fuel Rec.,Cement,Gas Flaring,Per Capita
1751,3,1.732050808,0,0,3,0.333333333,0,0,
1752,3,1.732050808,0,0,3,0.333333333,0,0,
1753,3,1.732050808,0,0,3,0.333333333,0,0,
1754,3,1.732050808,0,0,3,0.333333333,0,0,
1755,3,1.732050808,0,0,3,0.333333333,0,0,
1756,3,1.732050808,0,0,3,0.333333333,0,0,
1757,3,1.732050808,0,0,3,0.333333333,0,0,
1758,3,1.732050808,0,0,3,0.333333333,0,0,
1759,3,1.732050808,0,0,3,0.333333333,0,0,
1760,3,1.732050808,0,0,3,0.333333333,0,0,
1761,3,1.732050808,0,0,3,0.333333333,0,0,
1762,3,1.732050808,0,0,3,0.333333333,0,0,
1763,3,1.732050808,0,0,3,0.333333333,0,0,
1764,3,1.732050808,0,0,3,0.333333333,0,0,
1765,3,1.732050808,0,0,3,0.333333333,0,0,
1766,3,1.732050808,0,0,3,0.333333333,0,0,
1767,3,1.732050808,0,0,3,0.333333333,0,0,
1768,3,1.732050808,0,0,3,0.333333333,0,0,
1769,3,1.732050808,0,0,3,0.333333333,0,0,
1770,3,1.732050808,0,0,3,0.333333333,0,0,
1771,4,2,0,0,4,0.25,0,0,
1772,4,2,0,0,4,0.25,0,0,
1773,4,2,0,0,4,0.25,0,0,
1774,4,2,0,0,4,0.25,0,0,
1775,4,2,0,0,4,0.25,0,0,
1776,4,2,0,0,4,0.25,0,0,
1777,4,2,0,0,4,0.25,0,0,
1778,4,2,0,0,4,0.25,0,0,
1779,4,2,0,0,4,0.25,0,0,
1780,4,2,0,0,4,0.25,0,0,
1781,5,2.236067977,0,0,5,0.2,0,0,
1782,5,2.236067977,0,0,5,0.2,0,0,
1783,5,2.236067977,0,0,5,0.2,0,0,
1784,5,2.236067977,0,0,5,0.2,0,0,
1785,5,2.236067977,0,0,5,0.2,0,0,
1786,5,2.236067977,0,0,5,0.2,0,0,
1787,5,2.236067977,0,0,5,0.2,0,0,
1788,5,2.236067977,0,0,5,0.2,0,0,
1789,5,2.236067977,0,0,5,0.2,0,0,
1790,5,2.236067977,0,0,5,0.2,0,0,
1791,6,2.449489743,0,0,6,0.166666667,0,0,
1792,6,2.449489743,0,0,6,0.166666667,0,0,
1793,6,2.449489743,0,0,6,0.166666667,0,0,
1794,6,2.449489743,0,0,6,0.166666667,0,0,
1795,6,2.449489743,0,0,6,0.166666667,0,0,
1796,6,2.449489743,0,0,6,0.166666667,0,0,
1797,7,2.645751311,0,0,7,0.142857143,0,0,
1798,7,2.645751311,0,0,7,0.142857143,0,0,
1799,7,2.645751311,0,0,7,0.142857143,0,0,
1800,8,2.828427125,0,0,8,0.125,0,0,
1801,8,2.828427125,0,0,8,0.125,0,0,
1802,10,3.16227766,0,0,10,0.1,0,0,
1803,9,3,0,0,9,0.111111111,0,0,
1804,9,3,0,0,9,0.111111111,0,0,
1805,9,3,0,0,9,0.111111111,0,0,
1806,10,3.16227766,0,0,10,0.1,0,0,
1807,10,3.16227766,0,0,10,0.1,0,0,
1808,10,3.16227766,0,0,10,0.1,0,0,
1809,10,3.16227766,0,0,10,0.1,0,0,
1810,10,3.16227766,0,0,10,0.1,0,0,
1811,11,3.31662479,0,0,11,0.090909091,0,0,
1812,11,3.31662479,0,0,11,0.090909091,0,0,
1813,11,3.31662479,0,0,11,0.090909091,0,0,
1814,11,3.31662479,0,0,11,0.090909091,0,0,
1815,12,3.464101615,0,0,12,0.083333333,0,0,
1816,13,3.605551275,0,0,13,0.076923077,0,0,
1817,14,3.741657387,0,0,14,0.071428571,0,0,
1818,14,3.741657387,0,0,14,0.071428571,0,0,
1819,14,3.741657387,0,0,14,0.071428571,0,0,
1820,14,3.741657387,0,0,14,0.071428571,0,0,
1821,14,3.741657387,0,0,14,0.071428571,0,0,
1822,15,3.872983346,0,0,15,0.066666667,0,0,
1823,16,4,0,0,16,0.0625,0,0,
1824,16,4,0,0,16,0.0625,0,0,
1825,17,4.123105626,0,0,17,0.058823529,0,0,
1826,17,4.123105626,0,0,17,0.058823529,0,0,
1827,18,4.242640687,0,0,18,0.055555556,0,0,
1828,18,4.242640687,0,0,18,0.055555556,0,0,
1829,18,4.242640687,0,0,18,0.055555556,0,0,
1830,24,4.898979486,0,0,24,0.041666667,0,0,
1831,23,4.795831523,0,0,23,0.043478261,0,0,
1832,23,4.795831523,0,0,23,0.043478261,0,0,
1833,24,4.898979486,0,0,24,0.041666667,0,0,
1834,24,4.898979486,0,0,24,0.041666667,0,0,
1835,25,5,0,0,25,0.04,0,0,
1836,29,5.385164807,0,0,29,0.034482759,0,0,
1837,29,5.385164807,0,0,29,0.034482759,0,0,
1838,30,5.477225575,0,0,30,0.033333333,0,0,
1839,31,5.567764363,0,0,31,0.032258065,0,0,
1840,33,5.744562647,0,0,33,0.03030303,0,0,
1841,34,5.830951895,0,0,34,0.029411765,0,0,
1842,36,6,0,0,36,0.027777778,0,0,
1843,37,6.08276253,0,0,37,0.027027027,0,0,
1844,39,6.244997998,0,0,39,0.025641026,0,0,
1845,43,6.557438524,0,0,43,0.023255814,0,0,
1846,43,6.557438524,0,0,43,0.023255814,0,0,
1847,46,6.782329983,0,0,46,0.02173913,0,0,
1848,47,6.8556546,0,0,47,0.021276596,0,0,
1849,50,7.071067812,0,0,50,0.02,0,0,
1850,54,7.348469228,0,0,54,0.018518519,0,0,
1851,54,7.348469228,0,0,54,0.018518519,0,0,
1852,57,7.549834435,0,0,57,0.01754386,0,0,
1853,59,7.681145748,0,0,59,0.016949153,0,0,
1854,69,8.306623863,0,0,69,0.014492754,0,0,
1855,71,8.426149773,0,0,71,0.014084507,0,0,
1856,76,8.717797887,0,0,76,0.013157895,0,0,
1857,77,8.774964387,0,0,77,0.012987013,0,0,
1858,78,8.831760866,0,0,78,0.012820513,0,0,
1859,83,9.110433579,0,0,83,0.012048193,0,0,
1860,91,9.539392014,0,0,91,0.010989011,0,0,
1861,95,9.746794345,0,0,95,0.010526316,0,0,
1862,97,9.848857802,0,0,96,0.010416667,0,0,
1863,104,10.19803903,0,0,103,0.009708738,0,0,
1864,112,10.58300524,0,0,112,0.008928571,0,0,
1865,119,10.90871211,0,0,119,0.008403361,0,0,
1866,122,11.04536102,0,0,122,0.008196721,0,0,
1867,130,11.40175425,0,0,130,0.007692308,0,0,
1868,135,11.61895004,0,0,134,0.007462687,0,0,
1869,142,11.91637529,0,0,142,0.007042254,0,0,
1870,147,12.12435565,0,1,146,0.006849315,0,0,
1871,156,12.489996,0,1,156,0.006410256,0,0,
1872,173,13.15294644,0,1,173,0.005780347,0,0,
1873,184,13.56465997,0,1,183,0.005464481,0,0,
1874,174,13.19090596,0,1,173,0.005780347,0,0,
1875,188,13.7113092,0,1,187,0.005347594,0,0,
1876,191,13.82027496,0,1,190,0.005263158,0,0,
1877,194,13.92838828,0,2,192,0.005208333,0,0,
1878,196,14,0,2,194,0.005154639,0,0,
1879,210,14.49137675,0,3,207,0.004830918,0,0,
1880,236,15.3622915,0,3,233,0.004291845,0,0,
1881,243,15.58845727,0,4,239,0.0041841,0,0,
1882,256,16,0,4,252,0.003968254,0,0,
1883,272,16.4924225,0,3,269,0.003717472,0,0,
1884,275,16.58312395,0,4,271,0.003690037,0,0,
1885,277,16.64331698,1,4,273,0.003663004,0,0,
1886,281,16.76305461,2,5,275,0.003636364,0,0,
1887,295,17.17556404,3,5,287,0.003484321,0,0,
1888,327,18.08314132,5,5,317,0.003154574,0,0,
1889,327,18.08314132,3,6,318,0.003144654,0,0,
1890,356,18.86796226,3,8,345,0.002898551,0,0,
1891,372,19.28730152,2,9,360,0.002777778,0,0,
1892,374,19.33907961,2,9,363,0.002754821,0,0,
1893,370,19.23538406,2,10,358,0.002793296,0,0,
1894,383,19.57038579,2,9,372,0.002688172,0,0,
1895,406,20.14944168,2,11,393,0.002544529,0,0,
1896,419,20.46948949,2,12,405,0.002469136,0,0,
1897,440,20.97617696,2,13,425,0.002352941,0,0,
1898,465,21.56385865,2,13,449,0.002227171,0,0,
1899,507,22.5166605,3,14,491,0.00203666,0,0,
1900,534,23.10844002,3,16,515,0.001941748,0,0,
1901,552,23.49468025,4,18,531,0.001883239,0,0,
1902,566,23.79075451,4,19,543,0.001841621,0,0,
1903,617,24.8394847,4,20,593,0.001686341,0,0,
1904,624,24.97999199,4,23,597,0.001675042,0,0,
1905,663,25.74878638,5,23,636,0.001572327,0,0,
1906,707,26.5894716,5,23,680,0.001470588,0,0,
1907,784,28,5,28,750,0.001333333,0,0,
1908,750,27.38612788,5,30,714,0.00140056,0,0,
1909,785,28.01785145,6,32,747,0.001338688,0,0,
1910,819,28.61817604,7,34,778,0.001285347,0,0,
1911,836,28.91366459,7,36,792,0.001262626,0,0,
1912,879,29.64793416,8,37,834,0.001199041,0,0,
1913,943,30.70830507,8,41,895,0.001117318,0,0,
1914,850,29.15475947,8,42,800,0.00125,0,0,
1915,838,28.94822965,9,45,784,0.00127551,0,0,
1916,901,30.01666204,10,48,842,0.001187648,0,0,
1917,955,30.90307428,11,54,891,0.001122334,0,0,
1918,936,30.59411708,10,53,873,0.001145475,0,0,
1919,806,28.39013913,10,61,735,0.001360544,0,0,
1920,932,30.52867504,11,78,843,0.00118624,0,0,
1921,803,28.33725463,10,84,709,0.001410437,0,0,
1922,845,29.06888371,11,94,740,0.001351351,0,0,
1923,970,31.144823,14,111,845,0.001183432,0,0,
1924,963,31.0322413,16,110,836,0.001196172,0,0,
1925,975,31.22498999,17,116,842,0.001187648,0,0,
1926,983,31.35283081,19,119,846,0.001182033,0,0,
1927,1062,32.58834147,21,136,905,0.001104972,0,0,
1928,1065,32.63433774,23,143,890,0.001123596,10,0,
1929,1145,33.83784863,28,160,947,0.001055966,10,0,
1930,1053,32.44996148,28,152,862,0.001160093,10,0,
1931,940,30.65941943,25,147,759,0.001317523,8,0,
1932,847,29.10326442,24,141,675,0.001481481,7,0,
1933,893,29.88310559,25,154,708,0.001412429,7,0,
1934,973,31.19294792,28,162,775,0.001290323,8,0,
1935,1027,32.04684072,30,176,811,0.001233046,9,0,
1936,1130,33.61547263,34,192,893,0.001119821,11,0,
1937,1209,34.7706773,38,219,941,0.001062699,11,0,
1938,1142,33.7934905,37,214,880,0.001136364,12,0,
1939,1192,34.525353,38,222,918,0.001089325,13,0,
1940,1299,36.04164258,42,229,1017,0.000983284,11,0,
1941,1334,36.52396474,42,236,1043,0.000958773,12,0,
1942,1342,36.63331817,45,222,1063,0.000940734,11,0,
1943,1391,37.2961124,50,239,1092,0.000915751,10,0,
1944,1383,37.18870796,54,275,1047,0.00095511,7,0,
1945,1160,34.05877273,59,275,820,0.001219512,7,0,
1946,1238,35.18522417,61,292,875,0.001142857,10,0,
1947,1392,37.30951621,67,322,992,0.001008065,12,0,
1948,1469,38.32753579,76,364,1015,0.000985222,14,0,
1949,1419,37.6696164,81,362,960,0.001041667,16,0,
1950,1630,40.37325848,97,423,1070,0.000934579,18,23,0.64
1951,1767,42.03569911,115,479,1129,0.00088574,20,24,0.69
1952,1795,42.36744033,124,504,1119,0.000893655,22,26,0.68
1953,1841,42.90687591,131,533,1125,0.000888889,24,27,0.69
1954,1865,43.18564576,138,557,1116,0.000896057,27,27,0.69
1955,2042,45.18849411,150,625,1208,0.000827815,30,31,0.74
1956,2177,46.65833259,161,679,1273,0.000785546,32,32,0.77
1957,2270,47.644517,178,714,1309,0.000763942,34,35,0.79
1958,2330,48.27007354,192,731,1336,0.000748503,36,35,0.8
1959,2454,49.53786431,206,789,1382,0.000723589,40,36,0.83
1960,2569,50.68530359,227,849,1410,0.00070922,43,39,0.85
1961,2580,50.7937004,240,904,1349,0.00074129,45,42,0.84
1962,2686,51.82663408,263,980,1351,0.000740192,49,44,0.86
1963,2833,53.22593353,286,1052,1396,0.000716332,51,47,0.88
1964,2995,54.72659317,316,1137,1435,0.000696864,57,51,0.92
1965,3130,55.94640292,337,1219,1460,0.000684932,59,55,0.94
1966,3288,57.34108475,364,1323,1478,0.00067659,63,60,0.97
1967,3393,58.24946352,392,1423,1448,0.000690608,65,66,0.98
1968,3566,59.71599451,424,1551,1448,0.000690608,70,73,1.01
1969,3780,61.4817046,467,1673,1486,0.000672948,74,80,1.05
1970,4053,63.66317617,493,1839,1556,0.000642674,78,87,1.1
1971,4208,64.86909896,530,1947,1559,0.000641437,84,88,1.12
1972,4376,66.15134163,560,2057,1576,0.000634518,89,94,1.14
1973,4614,67.92643079,588,2241,1581,0.000632511,95,110,1.18
1974,4623,67.99264666,597,2245,1579,0.000633312,96,107,1.16
1975,4596,67.79380503,604,2132,1673,0.000597729,95,92,1.13
1976,4864,69.7423831,630,2314,1710,0.000584795,103,108,1.18
1977,5026,70.8942875,650,2398,1765,0.000566572,108,104,1.19
1978,5087,71.323208,680,2392,1793,0.000557724,116,106,1.19
1979,5369,73.27346041,721,2544,1887,0.000529942,119,98,1.23
1980,5315,72.90404653,740,2422,1947,0.000513611,120,86,1.2
1981,5152,71.77743378,756,2289,1921,0.000520562,121,64,1.14
1982,5113,71.50524456,740,2196,1992,0.000502008,121,64,1.11
1983,5094,71.37226352,741,2176,1995,0.000501253,125,58,1.09
1984,5280,72.6636085,808,2199,2094,0.000477555,128,51,1.11
1985,5439,73.74957627,837,2186,2237,0.000447027,131,49,1.12
1986,5607,74.87990385,831,2293,2300,0.000434783,137,46,1.14
1987,5752,75.8419409,894,2306,2364,0.000423012,143,44,1.15
1988,5965,77.23341246,937,2412,2414,0.00041425,152,50,1.17
1989,6097,78.08328887,985,2459,2457,0.000407,156,41,1.17
1990,6127,78.2751557,1019,2492,2419,0.000413394,157,40,1.16
1991,6217,78.84795495,1063,2605,2345,0.000426439,161,44,1.16
1992,6164,78.51114571,1095,2510,2357,0.000424268,167,35,1.13
1993,6162,78.49840763,1129,2523,2298,0.000435161,176,36,1.11
1994,6266,79.15806971,1139,2546,2358,0.000424088,186,38,1.11
1995,6398,79.98749902,1157,2565,2442,0.0004095,197,36,1.12
1996,6542,80.88263102,1209,2624,2469,0.000405022,203,37,1.13
1997,6651,81.55366331,1208,2700,2495,0.000400802,209,38,1.13
1998,6643,81.5046011,1243,2766,2391,0.000418235,209,35,1.12
1999,6610,81.3019065,1270,2737,2352,0.00042517,217,33,1.1
2000,6765,82.24962006,1288,2838,2367,0.000422476,226,45,1.11
2001,6927,83.22860085,1312,2840,2492,0.000401284,237,46,1.12
2002,6996,83.64209467,1344,2831,2521,0.000396668,252,48,1.12
2003,7416,86.11620057,1391,2959,2743,0.000364564,276,48,1.17
2004,7807,88.35722947,1437,3053,2967,0.000337041,298,53,1.21
2005,8093,89.96110271,1480,3076,3157,0.000316756,320,60,1.24
2006,8370,91.48770409,1525,3089,3339,0.000299491,356,61,1.27
2007,8566,92.5526877,1572,3081,3464,0.000288684,382,68,1.28
2008,8783,93.71766109,1631,3122,3571,0.000280034,388,71,1.3
2009,8740,93.48796714,1585,3056,3620,0.000276243,413,66,1.28
2010,9167,95.74445154,1702,3114,3842,0.000260281,450,59,1.33
